,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
ALJUNIED,0.0,0.0,0.0,0.0,0.0,0.0,4.0,92.0,295.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,496.0
ANG MO KIO,14.0,14.0,14.0,18.0,32.0,37.0,195.0,735.0,5742.0,8778.0,8780.0,8785.0,8785.0,8785.0,8785.0,8785.0,8785.0,8785.0,8786.0
BISHAN-TOA PAYOH,0.0,0.0,0.0,0.0,0.0,0.0,59.0,86.0,94.0,98.0,98.0,98.0,98.0,104.0,126.0,133.0,137.0,140.0,140.0
CHUA CHU KANG,0.0,0.0,0.0,0.0,0.0,0.0,5.0,96.0,1904.0,2863.0,2863.0,2869.0,2870.0,2870.0,2870.0,2870.0,2870.0,2870.0,2870.0
EAST COAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,14.0,14.0,16.0,21.0,21.0,26.0,28.0,28.0
FENGSHAN,0.0,0.0,0.0,0.0,0.0,115.0,159.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0
HOLLAND-BUKIT TIMAH,0.0,0.0,0.0,0.0,0.0,2.0,40.0,56.0,257.0,392.0,392.0,397.0,399.0,399.0,399.0,399.0,405.0,406.0,406.0
JALAN BESAR,0.0,0.0,0.0,12.0,25.0,35.0,111.0,302.0,381.0,413.0,413.0,415.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
JURONG,0.0,0.0,0.0,3.0,27.0,30.0,130.0,429.0,1124.0,1435.0,1435.0,1435.0,1435.0,1455.0,1463.0,1463.0,1463.0,1463.0,1467.0
MARINE PARADE,5.0,20.0,23.0,35.0,35.0,48.0,81.0,95.0,214.0,322.0,322.0,322.0,330.0,336.0,340.0,343.0,343.0,343.0,343.0
MARSILING-YEW TEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1711.0,3255.0,3255.0,3261.0,3269.0,3275.0,3276.0,3276.0,3276.0,3276.0,3276.0
NEE SOON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
SEMBAWANG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,892.0,1512.0,1514.0,1542.0,1566.0,1602.0,1610.0,1610.0,1625.0,1638.0,1638.0
TANJONG PAGAR,137.0,147.0,147.0,147.0,147.0,147.0,157.0,204.0,229.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0
WEST COAST,0.0,35.0,183.0,392.0,427.0,451.0,482.0,566.0,1621.0,2870.0,2873.0,2894.0,2910.0,2938.0,2984.0,2993.0,3034.0,3077.0,3127.0
HOUGANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HONG KAH NORTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNGGOL EAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIONEER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PASIR RIS-PUNGGOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POTONG PASIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADIN MAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENGKANG WEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAMPINES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YUHUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOUNTBATTEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACPHERSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT BATOK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT PANJANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
